N° da fatura,Data da fatura,ID Cliente,País,Quantidade,Valor
C572343,10/24/2021 10:40:00,14607,United Kingdom,-2344,"-2949,28"
C558530,6/30/2021 11:26:00,15039,United Kingdom,-2,"-17,00"
563921,8/21/2021 14:00:00,16407,United Kingdom,2,"15,90"
563943,8/22/2021 10:04:00,13139,United Kingdom,268,"540,92"
575854,11/11/2021 12:20:00,14125,United Kingdom,486,"1111,08"
552764,5/11/2021 11:34:00,17489,United Kingdom,232,"208,56"
571407,10/17/2021 12:16:00,13750,United Kingdom,85,"330,63"
548208,3/29/2021 17:12:00,14189,United Kingdom,224,"314,10"
556922,6/15/2021 13:56:00,12748,United Kingdom,5,"14,25"
572076,10/20/2021 14:01:00,13761,United Kingdom,418,"578,94"
544189,2/16/2021 16:40:00,15867,United Kingdom,36,"133,00"
562543,8/5/2021 15:45:00,13552,United Kingdom,216,"463,90"
573136,10/27/2021 17:00:00,12709,Germany,110,"268,68"
558261,6/28/2021 8:39:00,16945,United Kingdom,24,"10,08"
581482,12/9/2021 9:08:00,17490,United Kingdom,228,"488,40"
579740,11/30/2021 14:30:00,,United Kingdom,13,"32,07"
559538,7/10/2021 12:25:00,16880,United Kingdom,135,"269,49"
548862,4/4/2021 13:47:00,17956,United Kingdom,1,"12,75"
565569,9/5/2021 12:21:00,14111,United Kingdom,18,"48,30"
556047,6/8/2021 12:57:00,12901,United Kingdom,90,"276,24"
548189,3/29/2021 15:15:00,16607,United Kingdom,163,"141,41"
557213,6/17/2021 12:16:00,15021,United Kingdom,119,"218,14"
549142,4/6/2021 15:26:00,,United Kingdom,-24,"0,00"
571310,10/17/2021 10:17:00,13394,United Kingdom,463,"371,73"
542254,1/26/2021 16:41:00,14733,United Kingdom,133,"511,69"
576674,11/16/2021 12:00:00,,United Kingdom,-6,"0,00"
C553841,5/19/2021 12:19:00,16029,United Kingdom,-48,"-9,60"
548546,3/31/2021 19:20:00,16600,United Kingdom,186,"111,60"
558563,6/30/2021 13:43:00,14561,United Kingdom,192,"344,92"
543385,2/7/2021 16:24:00,,United Kingdom,1,"7,95"
546034,3/9/2021 9:44:00,14032,United Kingdom,291,"309,64"
557602,6/21/2021 11:57:00,14110,United Kingdom,156,"379,72"
544596,2/21/2021 17:35:00,16441,United Kingdom,110,"211,00"
553006,5/12/2021 16:45:00,15544,United Kingdom,393,"560,35"
542634,1/31/2021 10:42:00,15448,United Kingdom,232,"494,64"
540536,1/9/2021 14:21:00,17757,United Kingdom,93,"145,50"
536568,12/1/2020 15:28:00,16048,United Kingdom,12,"5,04"
545686,3/6/2021 12:09:00,18211,United Kingdom,56,"137,90"
553861,5/19/2021 13:58:00,13591,United Kingdom,135,"314,03"
C551015,4/26/2021 11:06:00,12753,Japan,-33,"-85,47"
567370,9/20/2021 9:13:00,14236,United Kingdom,272,"301,56"
560034,7/14/2021 13:35:00,13933,United Kingdom,113,"300,99"
547419,3/23/2021 10:27:00,15061,United Kingdom,1135,"1649,58"
C565681,9/6/2021 10:42:00,15521,United Kingdom,-92,"-192,40"
565081,9/1/2021 9:03:00,,United Kingdom,1,"0,00"
565680,9/6/2021 10:27:00,14560,United Kingdom,240,"100,80"
561244,7/26/2021 11:24:00,13865,United Kingdom,54,"100,82"
C576831,11/16/2021 14:56:00,12748,United Kingdom,-1082,"-1301,00"
542155,1/26/2021 10:51:00,15777,United Kingdom,112,"285,60"
572023,10/20/2021 11:03:00,17764,United Kingdom,247,"556,85"
577749,11/21/2021 14:26:00,16242,United Kingdom,299,"534,20"
C537383,12/6/2020 13:17:00,16550,United Kingdom,-3,"-9,05"
550901,4/21/2021 12:12:00,13389,United Kingdom,115,"257,89"
555546,6/5/2021 13:09:00,17735,United Kingdom,118,"228,30"
561900,7/31/2021 15:31:00,16655,United Kingdom,523,"638,19"
547963,3/28/2021 15:42:00,13037,United Kingdom,158,"250,42"
575968,11/13/2021 12:47:00,14882,United Kingdom,92,"341,80"
571745,10/19/2021 10:48:00,14911,EIRE,711,"1588,75"
539986,12/23/2020 15:21:00,,United Kingdom,7,"15,25"
543115,2/3/2021 13:27:00,14606,United Kingdom,72,"120,75"
552947,5/12/2021 11:57:00,16943,United Kingdom,20,"172,10"
550002,4/14/2021 9:30:00,12709,Germany,41,"68,00"
551320,4/27/2021 15:25:00,,United Kingdom,60,"0,00"
569539,10/4/2021 15:58:00,18102,United Kingdom,112,"557,76"
569863,10/6/2021 14:44:00,,United Kingdom,1,"9,95"
545812,3/7/2021 12:26:00,14214,United Kingdom,313,"638,65"
569740,10/6/2021 10:52:00,15769,United Kingdom,1600,"2924,00"
564648,8/26/2021 14:04:00,15641,United Kingdom,466,"581,82"
573751,11/1/2021 9:33:00,,United Kingdom,10,"0,00"
551859,5/4/2021 15:37:00,14336,United Kingdom,301,"230,03"
538070,12/9/2020 14:08:00,16519,United Kingdom,24,"103,70"
576848,11/16/2021 15:38:00,15051,United Kingdom,124,"245,68"
546442,3/14/2021 10:38:00,15159,United Kingdom,54,"207,30"
560422,7/18/2021 15:14:00,16746,United Kingdom,162,"300,18"
541967,1/24/2021 13:35:00,,United Kingdom,-3,"0,00"
C546894,3/17/2021 18:21:00,14334,United Kingdom,-1,"-12,75"
559948,7/14/2021 10:41:00,12653,Israel,633,"1430,75"
539688,12/21/2020 11:00:00,12678,France,1,"150,00"
548916,4/5/2021 10:07:00,14849,United Kingdom,377,"422,34"
576767,11/16/2021 13:12:00,,United Kingdom,-60,"0,00"
565851,9/7/2021 13:06:00,14911,EIRE,332,"637,29"
538909,12/15/2020 10:48:00,13491,United Kingdom,18,"97,50"
553475,5/17/2021 11:31:00,18102,United Kingdom,306,"866,40"
536523,12/1/2020 12:50:00,12868,United Kingdom,112,"203,30"
547571,3/24/2021 9:52:00,16265,United Kingdom,182,"432,30"
557871,6/23/2021 12:41:00,13458,United Kingdom,130,"300,78"
C565290,9/2/2021 11:46:00,16092,United Kingdom,-24,"-30,00"
553017,5/12/2021 19:01:00,12757,Portugal,311,"602,83"
549471,4/8/2021 14:39:00,17389,United Kingdom,72,"73,50"
573924,11/2/2021 9:45:00,15065,United Kingdom,202,"299,38"
C554011,5/20/2021 12:55:00,13151,United Kingdom,-2,"-7,50"
576641,11/16/2021 9:59:00,17549,United Kingdom,150,"120,66"
574746,11/7/2021 8:30:00,16523,United Kingdom,198,"676,80"
546019,3/8/2021 17:25:00,14507,United Kingdom,50,"39,49"
556809,6/14/2021 16:48:00,17179,United Kingdom,82,"223,48"
567768,9/22/2021 11:17:00,15950,United Kingdom,123,"255,84"
574661,11/6/2021 11:56:00,13447,United Kingdom,166,"430,30"
C575940,11/13/2021 11:38:00,17838,United Kingdom,-458,"-466,60"
549838,4/12/2021 13:39:00,16705,United Kingdom,48,"96,00"
547519,3/23/2021 14:46:00,16308,United Kingdom,1000,"320,00"
C554140,5/23/2021 10:34:00,13004,United Kingdom,-4,"-15,80"
C558736,7/1/2021 15:14:00,18075,United Kingdom,-4,"-18,28"
577080,11/17/2021 15:24:00,17001,United Kingdom,172,"357,60"
560048,7/14/2021 15:02:00,13515,United Kingdom,127,"132,16"
C566963,9/15/2021 17:09:00,17573,United Kingdom,-6,"-17,70"
568709,9/28/2021 15:42:00,15036,United Kingdom,176,"219,86"
539651,12/20/2020 16:19:00,,United Kingdom,26,"32,50"
578171,11/23/2021 11:36:00,17685,United Kingdom,207,"392,40"
576400,11/15/2021 10:51:00,13632,United Kingdom,288,"452,14"
557640,6/21/2021 16:24:00,,United Kingdom,364,"1760,85"
543013,2/2/2021 13:35:00,,United Kingdom,310,"1340,77"
542083,1/25/2021 12:26:00,18008,United Kingdom,355,"130,81"
579759,11/30/2021 15:02:00,15251,United Kingdom,244,"363,88"
552215,5/6/2021 15:12:00,,United Kingdom,-41,"0,00"
537628,12/7/2020 15:02:00,16293,United Kingdom,189,"378,75"
542096,1/25/2021 12:52:00,17236,United Kingdom,141,"199,33"
549149,4/6/2021 15:31:00,,United Kingdom,-43,"0,00"
C541284,1/17/2021 12:45:00,17744,United Kingdom,-36,"-31,32"
576909,11/17/2021 9:49:00,12471,Germany,519,"1072,12"
560105,7/14/2021 19:23:00,16794,United Kingdom,263,"222,13"
541709,1/21/2021 11:09:00,17504,United Kingdom,233,"441,15"
578272,11/23/2021 13:40:00,17463,United Kingdom,126,"198,31"
555363,6/2/2021 14:15:00,14453,United Kingdom,49,"119,93"
566033,9/8/2021 13:07:00,16031,United Kingdom,204,"243,31"
571545,10/17/2021 16:59:00,,United Kingdom,11,"13,65"
562155,8/3/2021 11:24:00,17940,United Kingdom,648,"162,00"
C575142,11/8/2021 15:36:00,17183,United Kingdom,-30,"-37,50"
561047,7/24/2021 12:46:00,16948,United Kingdom,1368,"194,48"
C544442,2/20/2021 10:30:00,15465,United Kingdom,-3,"-32,85"
568527,9/27/2021 13:21:00,13178,United Kingdom,539,"765,00"
563382,8/16/2021 10:50:00,18221,United Kingdom,145,"169,85"
C560220,7/15/2021 15:22:00,14572,United Kingdom,-1,"-12,75"
C548647,4/1/2021 13:17:00,12888,United Kingdom,-3,"-29,85"
549196,4/7/2021 10:33:00,14911,EIRE,271,"356,23"
577599,11/21/2021 8:26:00,15738,United Kingdom,202,"316,90"
569567,10/5/2021 9:56:00,16059,United Kingdom,40,"105,30"
576347,11/14/2021 15:38:00,13268,United Kingdom,2,"8,20"
544569,2/21/2021 12:58:00,16980,United Kingdom,418,"732,36"
542865,2/1/2021 12:08:00,12929,United Kingdom,37,"117,85"
562789,8/9/2021 13:50:00,14646,Netherlands,7807,"12341,21"
567798,9/22/2021 12:00:00,13089,United Kingdom,331,"886,63"
C539838,12/22/2020 13:59:00,13458,United Kingdom,-10,"-16,50"
565577,9/5/2021 12:24:00,14177,United Kingdom,2,"7,50"
550915,4/21/2021 13:30:00,13263,United Kingdom,69,"133,59"
541293,1/17/2021 13:39:00,15311,United Kingdom,145,"394,57"
578688,11/25/2021 9:27:00,16719,United Kingdom,235,"292,67"
560896,7/21/2021 17:26:00,15623,United Kingdom,125,"301,03"
561711,7/29/2021 11:45:00,13414,United Kingdom,368,"532,80"
C575385,11/9/2021 15:19:00,15916,United Kingdom,-3,"-18,55"
C571023,10/13/2021 12:18:00,15239,United Kingdom,-3,"-16,25"
575701,11/10/2021 16:59:00,13396,United Kingdom,461,"973,72"
547886,3/28/2021 9:21:00,13652,United Kingdom,178,"329,44"
562467,8/5/2021 11:50:00,13513,United Kingdom,109,"205,10"
563927,8/21/2021 15:01:00,14013,United Kingdom,258,"199,22"
C565229,9/2/2021 9:12:00,17450,United Kingdom,-1,"-200,00"
581471,12/8/2021 19:29:00,14702,United Kingdom,76,"199,29"
573230,10/28/2021 11:55:00,13199,United Kingdom,48,"85,92"
568656,9/28/2021 12:21:00,14911,EIRE,70,"141,62"
554502,5/24/2021 14:47:00,14289,United Kingdom,26,"124,68"
581017,12/7/2021 10:06:00,14910,United Kingdom,80,"110,80"
C540118,1/5/2021 9:57:00,,United Kingdom,-1,"-16453,71"
540116,1/5/2021 9:54:00,,United Kingdom,2,"10,13"
546428,3/13/2021 14:55:00,12681,France,185,"343,29"
571090,10/13/2021 15:28:00,15271,United Kingdom,34,"79,50"
540856,1/12/2021 10:16:00,16655,United Kingdom,373,"812,25"
568242,9/26/2021 12:11:00,14931,Channel Islands,181,"261,65"
557599,6/21/2021 11:34:00,,United Kingdom,-1440,"0,00"
550713,4/20/2021 11:11:00,15159,United Kingdom,1,"12,50"
542100,1/25/2021 13:15:00,15339,United Kingdom,159,"257,90"
549833,4/12/2021 13:19:00,13458,United Kingdom,666,"1015,14"
571918,10/19/2021 16:05:00,17350,United Kingdom,240,"156,24"
566983,9/16/2021 10:16:00,,United Kingdom,1,"0,00"
537432,12/6/2020 16:10:00,,United Kingdom,-43,"0,00"
537759,12/8/2020 11:42:00,13126,United Kingdom,108,"203,64"
554128,5/23/2021 9:26:00,,United Kingdom,-4,"0,00"
555940,6/8/2021 10:10:00,14191,United Kingdom,98,"357,60"
C574318,11/3/2021 19:11:00,16729,United Kingdom,-7,"-20,20"
560834,7/21/2021 12:15:00,16523,United Kingdom,204,"484,40"
554366,5/24/2021 10:24:00,17450,United Kingdom,3084,"9468,48"
566520,9/13/2021 11:26:00,17757,United Kingdom,61,"161,19"
537471,12/7/2020 10:51:00,14344,United Kingdom,3,"17,85"
562034,8/2/2021 9:14:00,12449,Belgium,267,"777,95"
C562709,8/8/2021 14:32:00,17511,United Kingdom,-11,"-29,49"
572516,10/24/2021 14:45:00,,United Kingdom,-71,"0,00"
561108,7/25/2021 11:43:00,,United Kingdom,-7,"0,00"
568332,9/26/2021 14:30:00,13434,United Kingdom,240,"461,40"
556823,6/15/2021 10:24:00,,United Kingdom,8,"77,72"
C574010,11/2/2021 11:51:00,17841,United Kingdom,-3,"-10,35"
537456,12/7/2020 9:43:00,17450,United Kingdom,780,"1989,24"
569693,10/5/2021 15:18:00,17837,United Kingdom,105,"250,95"
573131,10/27/2021 16:44:00,15622,United Kingdom,106,"381,95"
540099,1/4/2021 16:41:00,15808,United Kingdom,322,"733,92"
546220,3/10/2021 12:16:00,16745,United Kingdom,584,"541,10"
C578039,11/22/2021 14:13:00,17338,United Kingdom,-1,"-10,95"
560252,7/17/2021 12:35:00,13468,United Kingdom,61,"115,87"
569653,10/5/2021 12:52:00,12451,Switzerland,1650,"2539,56"
553545,5/17/2021 15:37:00,,United Kingdom,68,"430,14"
575475,11/9/2021 16:03:00,17702,United Kingdom,302,"485,60"
575703,11/10/2021 16:59:00,13767,United Kingdom,902,"1735,30"
556279,6/9/2021 19:55:00,14562,United Kingdom,59,"215,39"
578951,11/27/2021 14:40:00,15514,United Kingdom,277,"499,23"
578947,11/27/2021 13:49:00,14547,United Kingdom,438,"534,58"
570129,10/7/2021 13:34:00,12885,United Kingdom,293,"519,47"
566607,9/13/2021 16:40:00,13032,United Kingdom,175,"496,30"
580887,12/6/2021 12:26:00,13755,United Kingdom,80,"156,90"
C561682,7/28/2021 19:27:00,13631,United Kingdom,-7,"-48,65"
552523,5/9/2021 16:38:00,15797,United Kingdom,200,"330,00"
541263,1/16/2021 16:10:00,16843,United Kingdom,534,"759,06"
542796,2/1/2021 11:07:00,17356,United Kingdom,166,"178,22"
566776,9/15/2021 9:53:00,14911,EIRE,226,"368,37"
544170,2/16/2021 14:01:00,16148,United Kingdom,72,"76,32"
539469,12/19/2020 13:59:00,17841,United Kingdom,152,"283,52"
549670,4/11/2021 12:45:00,16168,United Kingdom,88,"141,20"
573902,11/1/2021 14:51:00,17428,United Kingdom,48,"311,18"
544826,2/24/2021 9:36:00,14513,United Kingdom,7,"18,75"
541086,1/13/2021 12:32:00,16503,United Kingdom,118,"353,70"
543824,2/14/2021 9:31:00,14631,United Kingdom,160,"309,50"
552464,5/9/2021 15:12:00,12726,France,333,"223,40"
C567359,9/19/2021 16:33:00,15201,United Kingdom,-14,"-8,59"
551515,5/1/2021 10:51:00,15606,United Kingdom,104,"320,88"
540160,1/5/2021 11:50:00,15769,United Kingdom,1032,"2574,48"
565631,9/5/2021 15:49:00,14680,United Kingdom,568,"1226,16"
580281,12/2/2021 13:15:00,12704,Finland,81,"198,76"
559157,7/6/2021 15:53:00,13999,United Kingdom,167,"307,03"
566257,9/11/2021 12:34:00,13324,United Kingdom,680,"855,60"
568724,9/28/2021 16:27:00,,United Kingdom,-21,"0,00"
554286,5/23/2021 14:16:00,17686,United Kingdom,97,"386,96"
546741,3/16/2021 12:22:00,13261,United Kingdom,20,"99,00"
546029,3/9/2021 8:59:00,15206,United Kingdom,6,"17,70"
543278,2/6/2021 14:43:00,16745,United Kingdom,406,"203,82"
540630,1/10/2021 11:59:00,17849,United Kingdom,19,"217,75"
559817,7/12/2021 16:20:00,,United Kingdom,652,"1839,58"
547563,3/24/2021 8:56:00,15651,United Kingdom,238,"227,32"
554105,5/22/2021 14:04:00,14711,United Kingdom,111,"213,06"
539442,12/17/2020 15:39:00,16558,United Kingdom,127,"311,15"
563952,8/22/2021 10:44:00,15572,United Kingdom,267,"679,25"
545162,2/28/2021 13:35:00,16187,United Kingdom,247,"480,90"
564966,8/31/2021 15:08:00,17677,United Kingdom,24,"34,80"
578354,11/24/2021 10:12:00,17139,United Kingdom,232,"468,52"
C555729,6/6/2021 16:50:00,13552,United Kingdom,-14,"-129,29"
550986,4/21/2021 18:06:00,,United Kingdom,378,"1654,97"
572926,10/27/2021 9:23:00,15659,United Kingdom,111,"306,45"
570292,10/10/2021 11:59:00,13418,United Kingdom,124,"370,68"
550972,4/21/2021 17:05:00,14031,United Kingdom,46,"99,63"
541850,1/23/2021 13:58:00,14224,United Kingdom,99,"244,30"
573124,10/27/2021 16:24:00,13654,United Kingdom,24,"99,60"
C565597,9/5/2021 14:29:00,12709,Germany,-5,"-19,03"
571080,10/13/2021 15:19:00,13719,United Kingdom,77,"250,49"
565420,9/4/2021 12:09:00,16326,United Kingdom,85,"313,05"
554633,5/25/2021 11:44:00,14287,United Kingdom,144,"17,28"
543464,2/8/2021 14:15:00,16779,United Kingdom,308,"364,32"
C540852,1/12/2021 9:48:00,15197,United Kingdom,-12,"-419,40"
553655,5/18/2021 11:14:00,16775,United Kingdom,31,"114,70"
553559,5/17/2021 17:12:00,14931,Channel Islands,1,"293,00"
551391,4/28/2021 12:06:00,15514,United Kingdom,152,"385,20"
559491,7/8/2021 13:53:00,,United Kingdom,119,"646,04"
544391,2/18/2021 11:53:00,15755,United Kingdom,198,"314,68"
C538692,12/14/2020 9:58:00,13599,United Kingdom,-2,"-7,24"
C542402,1/27/2021 16:05:00,16124,United Kingdom,-7,"-61,85"
542505,1/28/2021 12:04:00,,United Kingdom,2560,"0,00"
575039,11/8/2021 11:53:00,15005,United Kingdom,245,"327,22"
544098,2/16/2021 10:04:00,16019,United Kingdom,396,"1129,35"
C566472,9/12/2021 18:19:00,16187,United Kingdom,-8,"-39,60"
548997,4/5/2021 14:33:00,,United Kingdom,20,"0,00"
C562577,8/7/2021 13:09:00,15518,United Kingdom,-1,"-1,65"
C557879,6/23/2021 13:15:00,14911,EIRE,-1,"-4,25"
579495,11/29/2021 15:34:00,13576,United Kingdom,180,"327,48"
565852,9/7/2021 13:11:00,,United Kingdom,7,"14,10"
569550,10/4/2021 17:32:00,15955,United Kingdom,10,"8,50"
556827,6/15/2021 10:29:00,15134,United Kingdom,101,"171,63"
541278,1/17/2021 11:53:00,14135,United Kingdom,52,"167,40"
553192,5/15/2021 13:27:00,15333,United Kingdom,344,"1028,56"
549502,4/8/2021 15:07:00,,United Kingdom,1,"0,00"
548739,4/4/2021 11:28:00,15493,United Kingdom,106,"412,49"
562949,8/11/2021 9:47:00,14346,United Kingdom,501,"759,14"
542806,2/1/2021 11:20:00,12836,United Kingdom,254,"798,99"
573757,11/1/2021 9:46:00,17166,United Kingdom,21,"78,75"
542925,2/2/2021 9:39:00,14457,United Kingdom,88,"113,64"
545158,2/28/2021 13:28:00,15874,United Kingdom,52,"584,35"
549826,4/12/2021 12:53:00,15044,United Kingdom,114,"440,50"
573830,11/1/2021 11:35:00,16960,United Kingdom,76,"148,96"
548196,3/29/2021 15:44:00,16011,United Kingdom,63,"118,55"
575331,11/9/2021 13:52:00,13209,United Kingdom,593,"1049,66"
566491,9/13/2021 10:25:00,14060,United Kingdom,216,"294,24"
556514,6/13/2021 10:45:00,,United Kingdom,2,"23,25"
572670,10/25/2021 13:14:00,13685,United Kingdom,1524,"594,36"
554356,5/24/2021 9:25:00,12670,France,210,"393,34"
570868,10/12/2021 16:18:00,,United Kingdom,96,"0,00"
549264,4/7/2021 12:45:00,,United Kingdom,-21,"0,00"
566062,9/8/2021 15:39:00,14522,United Kingdom,251,"482,07"
545598,3/4/2021 11:16:00,,United Kingdom,-278,"0,00"
542965,2/2/2021 11:22:00,,United Kingdom,2,"0,00"
551293,4/27/2021 14:28:00,14298,United Kingdom,618,"428,64"
C543743,2/11/2021 13:39:00,12505,Italy,-1,"-4,50"
C546191,3/10/2021 10:57:00,16422,United Kingdom,-35,"-24,50"
C577131,11/17/2021 20:01:00,15861,United Kingdom,-1,"-165,00"
574747,11/7/2021 8:34:00,15618,United Kingdom,239,"357,81"
555846,6/7/2021 13:21:00,14180,United Kingdom,21,"149,15"
540455,1/7/2021 12:07:00,12583,France,491,"730,16"
573293,10/28/2021 15:14:00,,United Kingdom,10,"0,00"
562721,8/8/2021 16:31:00,15985,United Kingdom,208,"242,84"
545021,2/25/2021 14:11:00,17663,United Kingdom,179,"371,39"
555367,6/2/2021 14:28:00,17900,United Kingdom,49,"79,80"
569907,10/6/2021 16:41:00,12569,Germany,13,"77,40"
559819,7/12/2021 16:58:00,12682,France,117,"256,70"
C570331,10/10/2021 12:18:00,14606,United Kingdom,-1,"-0,39"
